Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active,Serious Critical,Tot Cases/1M pop
USA,"26,980,513","+68,588","456,283 ","+2,059","16,692,822","+62,788","9,831,408","23,884"
India,"10,778,031","+10,825","154,629 ",+107,"10,461,240","+13,790","162,162","8,944"
Brazil,"9,230,865",+849,"225,159 ",+16,"8,077,967",0,"927,739","8,318"
Russia,"3,884,730","+16,643","74,158 ",+539,"3,340,545","+22,372","470,027","2,300"
UK,"3,852,623","+16,840","108,013 ","+1,449","1,787,706","+19,734","1,956,904","3,726"
France,"3,201,461",0,"76,512 ",0,"225,319",0,"2,899,630","3,228"
Spain,"2,881,793","+29,064","59,805 ",+724,0,0,0,"4,853"
Italy,"2,570,608","+9,660","89,344 ",+499,"2,043,499","+18,976","437,765","2,214"
Turkey,"2,492,977","+7,795","26,237 ",+120,"2,379,070","+8,639","87,670","1,592"
Germany,"2,239,943","+7,627","59,386 ",+990,"1,954,000","+18,400","226,557","4,348"
Colombia,"2,104,506",0,"54,272 ",0,"1,954,674",0,"95,560","3,482"
Argentina,"1,933,853",0,"48,249 ",0,"1,729,999",0,"155,605","3,554"
Mexico,"1,869,708","+5,448","159,100 ",+564,"1,425,748","+13,355","284,860","5,692"
Poland,"1,520,215","+4,326","37,476 ",+253,"1,281,396","+4,760","201,343","1,353"
South Africa,"1,456,309",0,"44,399 ",0,"1,306,022",0,"105,888",546
Iran,"1,431,416","+6,820","58,110 ",+72,"1,223,197","+6,892","150,109","3,865"
Ukraine,"1,223,879","+2,394","22,924 ",+156,"1,035,372","+11,457","165,583",177
Peru,"1,142,716",0,"41,181 ",0,"1,057,145",0,"44,390","1,855"
Indonesia,"1,099,687","+10,379","30,581 ",+304,"896,530","+12,848","172,576",0
Czechia,"994,514","+7,117","16,545 ",+63,"885,279",+528,"92,690",988
Netherlands,"985,224","+3,561","14,108 ",+83,0,0,0,629
Canada,"785,719","+2,130","20,194 ",+58,"715,898","+4,190","49,627",830
Chile,"734,035","+3,147","18,559 ",+22,"690,653","+4,279","24,823","1,453"
Romania,"732,732","+2,676","18,513 ",+111,"678,473","+2,706","35,746",967
Portugal,"731,861","+5,540","13,017 ",+260,"551,956","+17,572","166,888",852
Belgium,"711,417","+1,264","21,124 ",+32,"49,061",+52,"641,232",315
Israel,"656,016","+3,770","4,863 ",+47,"579,822","+6,614","71,331","1,143"
Iraq,"621,755","+1,135","13,068 ",+11,"594,594","+1,210","14,093",184
Sweden,"576,606",0,"11,815 ",+37,0,0,0,240
Pakistan,"547,648","+1,220","11,746 ",+63,"502,537","+1,285","33,365","1,881"
Bangladesh,"536,107",+525,"8,149 ",+12,"480,728",+512,"47,230",0
Philippines,"528,853","+1,583","10,874 ",+67,"487,611",+39,"30,368",727
Switzerland,"526,728","+1,633","9,487 ",+35,"317,600",0,"199,641",254
Morocco,"472,273",+835,"8,309 ",+22,"450,847",+795,"13,117",404
Austria,"416,763","+1,241","7,847 ",+69,"395,316","+1,569","13,600",300
Serbia,"398,905","+1,903","4,056 ",+18,"31,536",0,"363,313",139
Japan,"391,626","+2,108","5,794 ",+72,"339,377","+5,252","46,455",937
Hungary,"369,288",+578,"12,656 ",+78,"268,803","+4,543","87,829",272
Saudi Arabia,"368,639",+310,"6,383 ",+4,"360,110",+271,"2,146",375
Jordan,"329,194","+1,132","4,334 ",+8,"316,442",+978,"8,418",120
Panama,"321,103",0,"5,296 ",0,"278,442",0,"37,365",246
UAE,"309,649","+3,310",866 ,+7,"285,201","+3,791","23,582",0
Lebanon,"305,842","+2,770","3,226 ",+81,"186,052","+5,175","116,564",942
Nepal,"271,289",+171,"2,030 ",+1,"266,859",+259,"2,400",0
Georgia,"259,209",+858,"3,208 ",+14,"250,289",+580,"5,712",0
Slovakia,"252,094","+1,737","4,784 ",+73,"222,642","+3,719","24,668",581
Ecuador,"251,279",+293,"14,915 ",+25,"209,814",0,"26,550",519
Belarus,"249,994",+699,"1,737 ",+9,"237,178",+662,"11,079",0
Croatia,"232,907",+387,"5,071 ",+17,"225,300",+385,"2,536",91
Azerbaijan,"230,455",+159,"3,141 ",+5,"223,807",+332,"3,507",0
